구분번호,대통령,글제목,연설일자,원문보기,연설장소
1305464,박정희,8의사 창의탑 건립 기념식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147100041471013438.PDF,국내
1305414,박정희,[방독]UN독일협회가 베푼 만찬회에서의 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142100041421013388.PDF,국제
1305406,박정희,[방독]뤼브케대통령이 베푼 연찬회에서의 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141300041413013380.PDF,국제
1305447,박정희,제2기 학도군사훈련생 임관식 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145400041454013421.PDF,국내
1305456,박정희,제19회 UN데이에 즈음한 UN군묘지에서의 추념사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146300041463013430.PDF,국내
1305429,박정희,울산정유공장 준공식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143600041436013403.PDF,국내
1305430,박정희,제1회 상공인의 날 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143700041437013404.PDF,국내
1305448,박정희,해군사관학교 제18기 졸업식 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145500041455013422.PDF,국내
1305435,박정희,흥한비스코스 인연사공장 기공식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144200041442013409.PDF,국내
1305437,박정희,부산 감천화력발전소 준공식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144400041444013411.PDF,국내
1305438,박정희,식량증산을 위한 지방장관회의 훈시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144500041445013412.PDF,국내
1305403,박정희,[방독(訪獨)] 도착성명(到着聲明),1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141000041410013377.PDF,국제
1305398,박정희,제19회(第十九回) 「UN데이」에 즈음한 담화문(談話文),1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140500041405013372.PDF,국내
1305411,박정희,[방독]베를린시 골든 북에 서명한 후 베를린시민에게 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141800041418013385.PDF,국제
1305417,박정희,[방독]귀국인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142400041424013391.PDF,국제
1305476,박정희,제3회 오월문예상 시상식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148300041483013450.PDF,국내
1305477,박정희,재일교포 올림픽후원회 결성에 즈음한 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148400041484013451.PDF,국제
1305399,박정희,동부지역 공공행정기구 제3차 총회 개회식 축사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140600041406013373.PDF,국내
1305400,박정희,1964년도 사법감독관회의 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140700041407013374.PDF,국내
1305401,박정희,독일연방공화국 공식방문을 마친 후의 한·독 공동성명,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140800041408013375.PDF,국제
1305444,박정희,전국산림대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145100041451013418.PDF,국내
1305413,박정희,[방독]베를린공과대학교에서의 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142000041420013387.PDF,국제
1305502,박정희,제9회 체신의 날 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150900041509013476.PDF,국내
1305449,박정희,공군사관학교 졸업식 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145600041456013423.PDF,국내
1305433,박정희,제16회 근농절 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144000041440013407.PDF,국내
1305446,박정희,UN군 장병에게 보내는 크리스마스 메시지(2),1964-01-01,,국내
1305407,박정희,[방독]교포조찬회에서의 인사(즉석연설),1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141400041414013381.PDF,국제
1305473,박정희,선열 석고상 건립 제막식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148000041480013447.PDF,국내
1305465,박정희,수운대신사 순도 100주년 기념 동상 제막식에 즈음한 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147200041472013439.PDF,국내
1305500,박정희,납북인사 송환요청을 위한 백만인의 서명운동에 대한 격려서신,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150700041507013474.PDF,국내
1305462,박정희,전국 교육감회의 치사,1964-01-01,,국내
1305389,박정희,시국수습에 관한 대통령교서,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139600041396013363.PDF,국내
1305460,박정희,적십자사업의 발전을 위한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146700041467013434.PDF,국내
