구분번호,대통령,글제목,연설일자,원문보기,연설장소
1310127,이명박,제17 대 대통령 취임사,2008-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263976600039766011733.PDF,국내
1310128,이명박,학군사관후보생 제46기 임관식 축사,2008-02-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263976700039767011734.PDF,국내
1310129,이명박,제89주년 3·1절 기념사,2008-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263976800039768011735.PDF,국내
1310130,이명박,2008 KR/FE 연습 격려편지,2008-03-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263976900039769011736.PDF,국내
1310131,이명박,한국노동조합총연맹 창립 제62주년 축사,2008-03-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977000039770011737.PDF,국내
1310132,이명박,육군사관학교 제64기 졸업 및 임관식 축사,2008-03-11,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977100039771011738.PDF,국내
1310133,이명박,육군3사관학교 제43기 졸업 및 임관식 축사,2008-03-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977200039772011739.PDF,국내
1310134,이명박,제48주년 3·15의거 기념사,2008-03-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977300039773011740.PDF,국내
1310135,이명박,해군사관학교 제62기 졸업 및 임관식 축사,2008-03-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977400039774011741.PDF,국내
1310136,이명박,제35회 상공의 날 축사,2008-03-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977500039775011742.PDF,국내
1310137,이명박,추비선 어린이에게 보내는 편지,2008-03-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977600039776011743.PDF,국내
1310138,이명박,공군사관학교 제56기 졸업 및 임관식 축사,2008-03-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263977700039777011744.PDF,국내
