구분번호,대통령,글제목,연설일자,원문보기,연설장소
1306636,최규하,국가비상시국에 관한 대통령권한대행 특별담화,1979-10-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263755600037556019523.PDF,국내
1306637,최규하,고 박정희대통령 대한민국 국장 조사,1979-11-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263755700037557019524.PDF,국내
1306638,최규하,시국에 관한 대통령권한대행 특별담화,1979-11-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263755800037558019525.PDF,국내
1306639,최규하,1980년도 예산안 제출에 즈음한 시정연설문,1979-11-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263755900037559019526.PDF,국내
1306640,최규하,통일주체국민회의 통일안보보고회 치사,1979-11-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756000037560019527.PDF,국내
1306641,최규하,통일주체국민회의 대의원에게 보내는 친서,1979-11-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756100037561019528.PDF,국내
1306642,최규하,대한적십자사 창립 제74주년 기념식 치사,1979-11-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756200037562019529.PDF,국내
1306643,최규하,제16회 수출의 날 기념식 치사,1979-11-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756300037563019530.PDF,국내
1306644,최규하,대통령후보 추천승낙에 즈음한 인사,1979-12-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756400037564019531.PDF,국내
1306645,최규하,국민교육헌장 선포 제11주년 기념식 치사,1979-12-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756500037565019532.PDF,국내
1306647,최규하,제10대 대통령 당선에 즈음한 인사,1979-12-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756700037567019534.PDF,국내
1306646,최규하,제2대 통일주체국민회의 제3차회의 개회식 개회사,1979-12-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263756600037566019533.PDF,국내
