구분번호,대통령,글제목,연설일자,원문보기,연설장소
1400001,박근혜,제18대 대통령 취임식,2013-02-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045123827393014685.pdf,국내
1400002,박근혜,제94주년 3.1절 기념식,2013-02-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045135567638016068.pdf,국내
1400003,박근혜,대국민 담화,2013-03-04,http://dams.pa.go.kr:8888/dams/AUDIOVISUAL/2020/04/21/DOC/SRC/0404202004211654526656592016913.pdf,국내
1400004,박근혜,국군 장교 합동 임관식,2013-03-08,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045143652407016628.pdf,국내
1400005,박근혜,제29기 경찰대학 졸업 및 임용식,2013-03-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045147810524011805.pdf,국내
1400006,박근혜,천안함 용사 3주기 추모식,2013-03-26,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045151737283011753.pdf,국내
1400007,박근혜,지역일자리정책한마당 축하 영상 메시지,2013-03-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045155700197012931.pdf,국내
1400008,박근혜,충남도청 신청사 개청식,2013-04-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045160281321017966.pdf,국내
1400009,박근혜,한반도 평화와 국민행복을 위한 대법회,2013-04-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045164033138014448.pdf,국내
1400010,박근혜,제33회 장애인의 날 축하 영상 메시지,2013-04-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045167351555014771.pdf,국내
1400011,박근혜,바르게살기운동 전국여성지도자대회 축하 영상 메시지,2013-04-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045171671116013235.pdf,국내
1400013,박근혜,청소년.가정의 달 기념 축하 영상 메시지,2013-04-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045178843573018896.pdf,국내
1400012,박근혜,제11회 할리웃보울 음악대축제 축하 영상 메시지,2013-04-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045174774794012698.pdf,국외
1400014,박근혜,한국여성정책연구원 개원 30주년 축하 영상 메시지,2013-04-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045182608482014446.pdf,국내
1400015,박근혜,과학기술인.정보통신인 한마음대회,2013-04-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045186432040013651.pdf,국내
1400016,박근혜,제50회 법의 날 기념식,2013-04-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045190287219014430.pdf,국내
1400018,박근혜,어린이날 축하 영상 메시지,2013-05-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045197785063013931.pdf,국내
1400017,박근혜,중앙선거관리위원회 창설 제50주년 및 제2회 유권자의 날 축하 영상 메시지,2013-05-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045193954490017943.pdf,국내
1400019,박근혜,미 상.하원 합동회의 연설,2013-05-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045201425812012417.pdf,국외
1400020,박근혜,미국상공회의소 주최 오찬,2013-05-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045205120993013002.pdf,국외
1400021,박근혜,제48회 발명의 날 기념식,2013-05-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045208141807012612.pdf,국내
1400022,박근혜,제33주년 5.18민주화운동 기념식,2013-05-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045211842114018699.pdf,국내
1400025,박근혜,바다의 날 축하 영상 메시지,2013-05-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045223313365019853.pdf,국내
1400024,박근혜,디지털 케이블TV 쇼 축하 영상 메시지,2013-05-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045219665269013399.pdf,국내
1400023,박근혜,한국청소년적십자 창립 제60주년 및 Global Peace 전국합동입단선서식 축하 영상 메시지,2013-05-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045215525222017370.pdf,국내
1400026,박근혜,한국형 기동헬기 '수리온' 전력화 기념 행사,2013-05-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045226541097011309.pdf,국내
1400028,박근혜,제18회 환경의 날 기념식,2013-06-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045232215170013022.pdf,국내
1400027,박근혜,대구국가산업단지 기공식,2013-06-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045229292048018447.pdf,국내
1400029,박근혜,제58주년 현충일 추념식,2013-06-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045236297730019833.pdf,국내
1400030,박근혜,세계한인회장대회 개회식,2013-06-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045239747385012778.pdf,국내
1400031,박근혜,국군 및 유엔군 6.25전쟁 참전유공자 위로연,2013-06-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045242789773017261.pdf,국내
1400032,박근혜,북경지역 재중 한국인 간담회,2013-06-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2019/11/01/DOC/SRC/0104201911011045247212172013760.pdf,국외
