구분번호,대통령,글제목,연설일자,원문보기,연설장소
1306788,전두환,[국보위상임위원장편]국가보위비상대책위원회 분과위원장 및 위원에 대한 훈시,1980-06-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263770800037708019675.PDF,국내
1306789,전두환,[국보위상임위원장편]조찬기도회 인사말,1980-08-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263770900037709019676.PDF,국내
1306790,전두환,[국보위상임위원장편]문화방송·경향신문 사장과의 특별회견,1980-08-11,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263771000037710019677.PDF,국내
1306791,전두환,[국보위상임위원장편]전국대학총학장을 위한 오찬인사말,1980-08-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263771100037711019678.PDF,국내
1306792,전두환,[국보위상임위원장편]전역사,1980-08-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263771200037712019679.PDF,국내
1306694,전두환,제11대 대통령당선에 즈음한 담화,1980-08-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263761400037614019581.PDF,국내
1306695,전두환,제11대 대통령 취임사,1980-09-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263761500037615019582.PDF,국내
1306696,전두환,육군제3사관학교 제17기 졸업식 및 임관식,1980-09-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263761600037616019583.PDF,국내
1306697,전두환,민방위대 창설 5주년기념 훈시,1980-09-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263761700037617019584.PDF,국내
1306698,전두환,후꾸다 다께오 전 일본수상을 위한 만찬 연설,1980-09-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263761800037618019585.PDF,국제
1306699,전두환,헌법개정안 공고에 즈음한 특별담화,1980-09-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263761900037619019586.PDF,국내
1306700,전두환,제32주년 국군의날 담화,1980-10-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762000037620019587.PDF,국내
1306701,전두환,제4312주년 개천절 경축사,1980-10-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762100037621019588.PDF,국내
1306702,전두환,1980년도 인구 및 주택센서스 실시에 즈음한 친서,1980-10-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762200037622019589.PDF,국내
1306703,전두환,제61회 전국체육대회 치사,1980-10-08,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762300037623019590.PDF,국내
1306704,전두환,국내기자회견,1980-10-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762400037624019591.PDF,국내
1306705,전두환,제26회 백제문화제치사,1980-10-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762500037625019592.PDF,국내
1306706,전두환,문화의날 기념식 치사,1980-10-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762600037626019593.PDF,국내
1306707,전두환,제5공화국 헌법공포에 즘음한 담화,1980-10-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762700037627019594.PDF,국내
1306709,전두환,통일주체국민회의 종료행사 치사,1980-10-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762900037629019596.PDF,국내
1306708,전두환,제35주년 경찰의날 기념식 유시,1980-10-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263762800037628019595.PDF,국내
1306711,전두환,1980년도 추가경정예산안 제출에 즈음한 시정연설,1980-10-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763100037631019598.PDF,국내
1306710,전두환,1981년도 예산안 제출에 즈음한 시정연설,1980-10-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763000037630019597.PDF,국내
1306712,전두환,전국지방장관·시장·군수·구청장·경찰서장대회 유시,1980-11-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763200037632019599.PDF,국내
1306713,전두환,북평항 제1단계 준공식 치사,1980-11-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763300037633019600.PDF,국내
1306714,전두환,일본 NHK-TV와의 회견,1980-11-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763400037634019601.PDF,국내
1306715,전두환,제61회 순국선열 합동추념식 메시지,1980-11-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763500037635019602.PDF,국내
1306716,전두환,미국 월 스트리트 저널지와의 회견,1980-11-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763600037636019603.PDF,국내
1306717,전두환,1980년도 농어업조사 실시에 즈음한 친서,1980-11-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763700037637019604.PDF,국내
1306718,전두환,서울신문 특별회견,1980-11-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763800037638019605.PDF,국내
1306719,전두환,정치활동재개에 즈음한 특별담화,1980-11-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263763900037639019606.PDF,국내
1306720,전두환,품질과 생산성향상을 위한 리셉션 격려,1980-11-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263764000037640019607.PDF,국내
1306721,전두환,근로자를 위한 리셉션 격려,1980-11-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263764100037641019608.PDF,국내
1306722,전두환,제17회 수출의날 기념식 치사,1980-12-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263764200037642019609.PDF,국내
1306723,전두환,대청다목적댐 준공식 치사,1980-12-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263764300037643019610.PDF,국내
1306724,전두환,국민교육헌장 선포 제12주년 기념식 치사,1980-12-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263764400037644019611.PDF,국내
