구분번호,대통령,글제목,연설일자,원문보기,연설장소
1309348,노무현,제16 대 대통령 취임 경축연 연설,2003-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264264500042645014612.PDF,국내
1309347,노무현,제16 대 대통령 취임사,2003-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264264400042644014611.PDF,국내
1309349,노무현,제16 대통령 취임 축하 외빈을 위한 만찬사,2003-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264264600042646014613.PDF,국내
1309351,노무현,2·28민주의거 43주년 기념메시지,2003-02-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264264800042648014615.PDF,국내
1309350,노무현,학군사관후보생(ROTC) 제41기 임관식 치사,2003-02-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264264700042647014614.PDF,국내
1309352,노무현,제84주년 3·1절 기념사,2003-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264264900042649014616.PDF,국내
1309353,노무현,참여정부 국정토론회 말씀,2003-03-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265000042650014617.PDF,국내
1309354,노무현,육군사관학교 제59기 졸업 및 임관식 치사,2003-03-11,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265100042651014618.PDF,국내
1309355,노무현,해군사관학교 제57기 졸업 및 임관식 치사,2003-03-13,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265200042652014619.PDF,국내
1309356,노무현,3·15민주의거 43주년 기념 메시지,2003-03-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265300042653014620.PDF,국내
1309357,노무현,공군사관학교 제51기 졸업 및 임관식 치사,2003-03-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265400042654014621.PDF,국내
1309358,노무현,제30회 상공의 날 기념식 연설,2003-03-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265500042655014622.PDF,국내
1309359,노무현,경찰대학 제19기 졸업 및 임용식 치사,2003-03-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265600042656014623.PDF,국내
1309360,노무현,제주국제컨벤션센터 개관식 축하 메시지,2003-03-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265700042657014624.PDF,국내
1309361,노무현,육군3사관학교 제38기 졸업 및 임관식 치사,2003-03-26,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265800042658014625.PDF,국내
1309362,노무현,제238회 임시국회 국정연설,2003-04-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264265900042659014626.PDF,국내
1309363,노무현,향토예비군 창설 35주년 축하 메시지,2003-04-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264266000042660014627.PDF,국내
1309364,노무현,제1회 동북아경제포럼 축하 메시지,2003-04-08,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264266100042661014628.PDF,국내
1309365,노무현,한국형 구축함 문무대왕함 진수식 축사,2003-04-11,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264266200042662014629.PDF,국내
1309366,노무현,3자위원회 위원을 위한 만찬연설,2003-04-12,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264266300042663014630.PDF,국내
