구분번호,대통령,글제목,연설일자,원문보기,연설장소
1310471,이승만,UN 정치위원회의 결의에 대하여 ,1948-12-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264000600040006011973.PDF,국내
1310472,이승만,신국면에 대하여 ,1948-12-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264000700040007011974.PDF,국내
1310473,이승만,석탄채굴에 힘쓰자 ,1948-12-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264000800040008011975.PDF,국내
1310474,이승만,이북동포와 인민군에게 보냄 ,1948-12-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264000900040009011976.PDF,국내
1310476,이승만,새해를 마지하는 마음 ,1949-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001100040011011978.PDF,국내
1310477,이승만,평생에 기쁜 소식 ,1949-01-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001200040012011979.PDF,국내
1310478,이승만,전국 청년단체 합동과 청년의 사명 ,1949-01-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001300040013011980.PDF,국내
1310479,이승만,"개각설은 무근(無根), 국민은 현혹치 마라 ",1949-01-08,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001400040014011981.PDF,국내
1310480,이승만,"쌀 암매장치(闇買藏置)는 부당, 호농지주의 협력이 긴요 ",1949-01-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001500040015011982.PDF,국내
1310481,이승만,민생과 국방에 최중점 ,1949-01-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001600040016011983.PDF,국내
1310482,이승만,화부(華府)에 대사관 설치함 ,1949-02-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001700040017011984.PDF,국내
1310483,이승만,불법 소장 양곡은 몰수 또는 강제 매입 ,1949-02-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001800040018011985.PDF,국내
1310484,이승만,"사무분담 명백히 하라, 반민법(反民法) 실시에 대하여 ",1949-02-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264001900040019011986.PDF,국내
1310485,이승만,매곡 완수에 노력하라 ,1949-02-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002000040020011987.PDF,국내
1310486,이승만,"통일은 한위(韓委)와 협의, 철병 운운은 시기상조 ",1949-02-08,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002100040021011988.PDF,국내
1310487,이승만,"대 민간 작폐를 엄금, 건설 사업에 적극 매진하라 ",1949-02-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002200040022011989.PDF,국내
1310488,이승만,애국공채 발행에 대하야 ,1949-02-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002300040023011990.PDF,국내
