구분번호,대통령,글제목,연설일자,원문보기,연설장소
1307709,노태우,김대중 신민당 총재와의 대화,1991-07-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264128700041287013254.PDF,국내
1308525,김대중,제15 대통령 취임사(국난극복과 재도약의 새시대를 엽시다),1998-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263821600038216010183.PDF,국내
1308526,김대중,대통령 취임 경축 만찬 연설(위기극복에 다함께 나섭시다),1998-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263821700038217010184.PDF,국내
1308527,김대중,제79주년 3·1절 기념사(3·1운동의 대화합 정신으로 국난극복),1998-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263821800038218010185.PDF,국내
1308528,김대중,98년도 학군사관후보생 임관식 연설(문무를 겸비한 새시대의 민주국군),1998-03-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263821900038219010186.PDF,국내
1308530,김대중,김종필 총리서리 임명 관련 국민 여러분께 드리는 말씀(국정공백을 막기 위한 화합과 협력),1998-03-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822100038221010188.PDF,국내
1308529,김대중,신임 국무위원 임명장 수여 및 다과회 말씀(합심과 협력으로 국민에게 희망과 안정을),1998-03-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822000038220010187.PDF,국내
1308531,김대중,육군사관학교 제54기 졸업 및 임관식 연설(국민의 신뢰와 사랑을 받는 민주군대의 핵심),1998-03-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822200038222010189.PDF,국내
1308532,김대중,해군사관학교 제52기 졸업 및 임관식 연설(바다를 통한 세계화의 첨병),1998-03-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822300038223010190.PDF,국내
1308533,김대중,공군사관학교 제46기 졸업 및 임관식 연설(공군력은 현대전의 중심이자 핵심전략),1998-03-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822400038224010191.PDF,국내
1308534,김대중,경찰대학 제14기 졸업 및 임용식 연설(국민과 함께 하는 국민의 경찰),1998-03-23,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822500038225010192.PDF,국내
1308535,김대중,청와대 출입기자 초청 오찬 간담회 말씀(정치안정을 위한 야당의 협력 절실),1998-03-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822600038226010193.PDF,국내
1308536,김대중,제30회 국가조찬기도회 연설(구국의 결의와 실천을 다짐하며),1998-03-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822700038227010194.PDF,국내
1308537,김대중,제1회 무역·투자진흥대책회의시 말씀(지금의 난국을 재도약의 기회로),1998-03-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822800038228010195.PDF,국내
1308538,김대중,시·도 지사 오찬말씀(소신과 독자성 살린 지방행정 실시),1998-03-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263822900038229010196.PDF,국내
1308539,김대중,제주 국제컨벤션센터 기공식 축하 메시지(세계평화와 발전을 이끄는 세계 평화의 섬),1998-03-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823000038230010197.PDF,국내
1308540,김대중,영국경제인협회(CBI)(한·영 공동이익을 위한 상호협력체제강화),1998-04-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823100038231010198.PDF,국제
1308541,김대중,런던 대학교 SOAS 초청강연회 연설(남북간 화해와 교류·협력 추진),1998-04-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823200038232010199.PDF,국제
1308542,김대중,제2차 ASEM 참석 귀국기자회견 서두말씀(한국에 고위급 투자사절단 파견),1998-04-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823300038233010200.PDF,국내
1308543,김대중,제42회 신문의 날 리셉션 말씀(비판없는 찬양보다는 우정있는 비판을),1998-04-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823400038234010201.PDF,국내
1308544,김대중,전국 검사장 오찬 말씀(국민의 신뢰와 존경받는 검찰상 정립),1998-04-13,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823500038235010202.PDF,국내
1308545,김대중,음베키 남아프리카공화국 부통령을 위한 오찬 연설(아프리카·아시아간 가교의 역할 기대),1998-04-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823600038236010203.PDF,국내
1308546,김대중,제30회 한일·일한 경제인회의 축하 메시지(한·일 경제협력의 새로운 전기 마련),1998-04-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823700038237010204.PDF,국내
1308547,김대중,4·19혁명 제38주년 국가조찬기도회 연설(숭고하게 피어난 민주와 정의의 불꽃),1998-04-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823800038238010205.PDF,국내
1308548,김대중,경제단체장 초청 오찬 말씀(무한경쟁시대는 최고만이 살아남는 시대),1998-04-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263823900038239010206.PDF,국내
1308549,김대중,98 한국디자이너대회 연설(디자인 산업은 굴뚝없는공장),1998-04-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824000038240010207.PDF,국내
1308550,김대중,백제역사 재현단지 기공식 축하 메시지(세계속의 문화국가를 향한 토대),1998-04-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824100038241010208.PDF,국내
1308551,김대중,파이낸셜 타임스지 주최 서울 경제국제회의 연설(민주주의와 시장경제는 시대적 과제),1998-04-23,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824200038242010209.PDF,국내
1308552,김대중,고위공직자와의 대화(공무원은 개혁의 대상이 아니라 개혁의 주체),1998-04-27,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824300038243010210.PDF,국내
1308553,김대중,후진타오 중국 국가부주석을 위한 오찬연설(아시아·태평양시대의 동반자),1998-04-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824400038244010211.PDF,국내
1308554,김대중,나라와 민족을위한 기원법회 연설(호국불교의 장엄한 정신으로 국난극복),1998-04-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824500038245010212.PDF,국내
1308555,김대중,일본 언론사 정치부장 접견시 말씀(마음으로부터 화해하고 협력하는 한·일관계),1998-04-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824600038246010213.PDF,국내
1308556,김대중,제5회 대구·경북지역 국가기도회 연설(국민화합의 중심축은 동서화합),1998-04-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824700038247010214.PDF,국내
1308557,김대중,대구~포항간 고속도로 기공식 연설(전국으로 세계로 뻗어가는 고속도로),1998-04-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824800038248010215.PDF,국내
1308558,김대중,법의 날 수상자 및 대한변호사협회 임원 초청 오찬 말씀(법은 엄격히 적용하되 자유는 최대한 보장),1998-05-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263824900038249010216.PDF,국내
1308559,김대중,노사협력 유공자 초청 오찬 말씀(노사협력으로 선진국을 향한 재도약),1998-05-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825000038250010217.PDF,국내
1308560,김대중,불기2542년 부처님 오신 날 축하 메시지(빈자일등의 정신으로 국난극복),1998-05-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825100038251010218.PDF,국내
1308561,김대중,"제76회 어린이날 축하 메시지(어린이 여러분, 사랑합니다)",1998-05-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825200038252010219.PDF,국내
1308562,김대중,군 주요지휘관 오찬 말씀(외국인 투자 유치의 기초는 튼튼한 안보),1998-05-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825300038253010220.PDF,국내
1308563,김대중,민주평화통일자문회의 운영위원 초청 다과회 말씀(지금은 남북간 화해·협력의 단계),1998-05-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825400038254010221.PDF,국내
1308564,김대중,일본 '전 왕인묘' 사적지정 60주년 기념행사 축하 메시지(한·일 문화교류 역사의 상징),1998-05-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825500038255010222.PDF,국제
1308565,김대중,국민과의 대화(열린 마음으로 국민과 함께),1998-05-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825600038256010223.PDF,국내
1308566,김대중,국가경제회생 및 대통령을 위한 구국기도회 연설(화합과 단결로 재도약의 기회 창출),1998-05-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825700038257010224.PDF,국내
1308567,김대중,스승의 날 유공자포상 및 오찬 말씀(삼위일체의 전인교육 실현),1998-05-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825800038258010225.PDF,국내
1308568,김대중,국제라이온스협회 355복합지구 제1회 연차대회 축하 메시지(용기와 희망을 주는 사랑과 봉사의 정신),1998-05-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263825900038259010226.PDF,국내
1308569,김대중,대학 총·학장 초청오찬 말씀(21세기를 대비해야 할 대학교육),1998-05-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263826000038260010227.PDF,국내
1308570,김대중,여성계 인사 초청 오찬 말씀(21세기는 여성의 시대),1998-05-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263826100038261010228.PDF,국내
1308571,김대중,미합중국 전몰장병 추모일을 맞아 주한미군 장병에게 보내는 메시지(자유와 평화를 위한 고귀한 희생),1998-05-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263826200038262010229.PDF,국내
1308572,김대중,청와대 방문 도서벽지 어린이 격려 말씀(항상 이웃을 위해 사는 사람이 되기를),1998-05-26,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263826300038263010230.PDF,국내
1308573,김대중,국제라이온스협회 354복합지구 제22회 연차대회 축하 메시지(사랑과 봉사의 실천을 다짐하는 뜻깊은 자리),1998-05-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263826400038264010231.PDF,국내
1308574,김대중,국회 개원 50주년 경축 연설(국회는 정치개혁과 나라 안정의 중심),1998-05-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263826500038265010232.PDF,국내
