구분번호,대통령,글제목,연설일자,원문보기,연설장소
1307296,노태우,제13대 대통령 취임사,1988-02-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264087400040874012841.PDF,국내
1307297,노태우,제69주년 3·1절 기념사,1988-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264087500040875012842.PDF,국내
1307298,노태우,민주정의당 제13대 국회의원후보자 공천장 수여식 연설,1988-03-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264087600040876012843.PDF,국내
1307299,노태우,민주평화통일자문회의 오찬 연설,1988-03-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264087700040877012844.PDF,국내
1307300,노태우,공군사관학교 제36기 졸업 및 임관식 치사,1988-03-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264087800040878012845.PDF,국내
1307301,노태우,육군사관학교 제44기 졸업 및 임관식 치사,1988-03-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264087900040879012846.PDF,국내
1307303,노태우,민주정의당 지구당 창당대회 총재 치사,1988-03-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264088100040881012848.PDF,국내
1307302,노태우,재외공관장회의 참석자들을 위한 만찬 연설,1988-03-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264088000040880012847.PDF,국내
1307305,노태우,경찰대학 제4기 졸업 및 임관식 치사,1988-04-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264088300040883012850.PDF,국내
1307304,노태우,월간현대문학 통권400호 축하서한,1988-04-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264088200040882012849.PDF,국내
1307306,노태우,향토예비군 창설 제20주년 기념일에 즈음한 담화,1988-04-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264088400040884012851.PDF,국내
